LOC_RES(SINAVE),LAT_DECIMAL,LON_DECIMAL
EL AGUACATE,19.164354,-101.067013
EL AGUACATE,18.920277,-101.120833
EL AGUACATE,18.383721,-102.347331
EL AGUACATE,18.302423,-102.237143
EL AGUACATE,18.377369,-102.405738
EL AGUACATE,18.778271,-103.091291
EL AGUACATE,19.136666,-100.945555
EL AGUACATE,19.241616,-100.894969
EL AGUACATE,19.602131,-102.646872
EL AGUACATE,19.574999,-102.664167
EL AGUACATE,18.574999,-102.710278
EL AGUACATE,18.938934,-101.583254
EL AGUACATE,19.397149,-100.827675
EL AGUACATE,19.484594,-102.072656
EL AGUACATE,19.92613,-102.586085
EL AGUACATE,19.952778,-100.614722
EL AGUACATE,19.416944,-100.339444
EL AGUACATE,19.417501,-100.429351
EL AGUACATE (PRIMERA MANZANA),19.55688,-100.518001
EL AGUACATE (SEGUNDA MANZANA CASA BLANCA),19.571666,-100.529722
EL AGUAJE,19.285665,-100.433277
EL AGUAJE,18.595046,-103.358815
EL AGUAJE,20.142647,-102.419605
EL AGUAJE,20.376729,-102.125227
EL AGUAJE,19.609753,-101.28778
EL AGUAJE,18.837287,-101.331771
EL AGUAJE,20.100918,-102.354882
EL ÁGUILA,19.428794,-101.108852
EL ÁGUILA,19.357661,-101.102169
EL ÁGUILA,18.519292,-102.327839
EL AHIJADERO,18.129363,-102.392789
EL AHIJADERO,19.358661,-101.005927
EL AHIJADERO,18.250275,-103.124921
EL AHIJADERO,18.661291,-103.296917
EL AHIJADERO,18.896032,-103.035931
EL AHIJADERO,18.757569,-102.513448
EL AHIJADERO,18.858611,-103.323333
EL AHIJADERO,18.678819,-103.610136
EL AHIJADERO,18.450211,-102.634145
EL AHIJADERO,18.493686,-102.804003
EL AHIJADERO,18.438177,-102.780084
EL AHOGADO,19.286093,-102.532566
EL AHOGADO,18.634722,-102.777777
EL AHUIJOTE,18.202954,-103.045604
EL AHUIJOTE,18.709949,-101.767382
EL ÁLAMO,19.667292,-100.923598
EL ÁLAMO,19.325451,-100.374549
EL ALGODONAL,20.255224,-102.100918
EL ALGODONAL,19.169713,-101.466041
EL ALVAREÑO,,
EL ARCO,18.315278,-103.039722
EL ARCO,18.560072,-103.32842
EL ARCO,20.079722,-102.265833
EL ARCO,20.255007,-101.572536
EL ARENAL,19.630777,-102.055962
EL ARENAL,19.311642,-102.391398
EL ARENAL,18.022474,-102.477347
EL ARENAL,19.639291,-100.960577
EL ARENAL,19.702583,-100.578732
EL ARENAL,18.167239,-102.655459
EL ARENAL,19.589793,-101.192134
EL ARENAL,19.446689,-101.113215
EL ARENAL,19.146396,-101.116025
EL ARENAL,19.271563,-101.619066
EL ARENAL,19.104703,-102.532607
EL ARENAL,19.451512,-100.539854
EL ARENAL,18.227971,-103.083341
EL ARENAL,20.043828,-100.353826
EL ARENAL,18.593184,-102.650462
EL ARENAL,18.798725,-101.501093
EL ARENAL,19.520803,-102.306904
EL ARENAL,19.858748,-100.867309
EL ARROYO DEL ESPÍRITU SANTO,18.895256,-101.662344
EL ATRANCÓN,20.069072,-102.391221
EL ATRANCÓN,18.149546,-102.877734
EL ATRANCÓN,19.51571,-102.391782
EL ATRAVESAÑO,,
EL ATUTO (TANQUES ATUTO),19.217714,-102.045779
EL AVENTURERO,19.319443,-100.379673
EL AVISPERO,,
EL BALSEADERO,19.207373,-100.568132
EL BARRIO,19.82101,-102.659757
EL BARRO,18.848889,-100.916666
EL BARRO,18.552923,-102.861128
EL BARRO,19.43925,-100.549248
EL BARRO,18.387867,-103.155923
EL BRASIL,19.201999,-100.835019
EL BRASIL,19.129806,-100.589364
EL CAHULOTE DE SANTA ANA,19.076561,-101.581322
EL CAJONCITO,18.98297,-101.352613
EL CALVARIO,19.209954,-101.831371
EL CALVARIO,19.515278,-101.624444
EL CALVARIO,19.800005,-101.053708
EL CALVARIO,19.451803,-101.109722
EL CALVARIO,19.121666,-101.151667
EL CALVARIO,19.029165,-102.795195
EL CALVARIO,19.355734,-102.162359
EL CALVARIO,19.532235,-102.327422
EL CALVARIO,19.4545,-101.887161
EL CAMALOTE,18.75113,-103.641931
EL CAMICHE,20.30828,-102.167385
EL CAMPO DE AVIACIÓN,18.770833,-103.176944
EL CAMPO DE AVIACIÓN,18.354442,-101.981589
EL CANELO,18.702973,-101.840751
EL CANELO,19.472549,-102.023588
EL CANGREJAL (TICUIXILA),18.333277,-103.478255
EL CANGREJO,19.237929,-100.436715
EL CANGREJO,19.041436,-101.811322
EL CAPIRE,18.863539,-103.071475
EL CAPIRE,18.360793,-103.18767
EL CAPIRE,19.300801,-101.047321
EL CAPIRE,18.732533,-102.785777
EL CAPIRE,18.57064,-103.581702
EL CAPIRE,18.552778,-102.883333
EL CAPIRE,18.589559,-101.064859
EL CAPIRE,18.718212,-102.746209
EL CAPIRE,18.714963,-103.352744
EL CAPIRE,18.651821,-102.806738
EL CAPIRE,19.176578,-102.410617
EL CAPIRE,19.139776,-100.417345
EL CAPIRE,19.19738,-101.085965
EL CAPIRE,18.945555,-101.920277
EL CAPIRE,18.721554,-102.694915
EL CAPIRE,18.54229,-102.359208
EL CAPIRE,18.952498,-101.562157
EL CAPIRE,18.812047,-101.493296
EL CAPIRE,19.053611,-100.503333
EL CAPIRE,19.30287,-100.617985
EL CAPIRE,19.590542,-100.891343
EL CAPIRE,19.407122,-100.476663
EL CAPIRE DE OROPEO,18.837824,-101.806835
EL CAPOTE,19.069158,-101.612127
EL CAPULÍN,20.181705,-102.188158
EL CAPULÍN,19.723282,-100.584288
EL CAPULÍN,19.836443,-101.655823
EL CAPULÍN,18.804051,-102.67908
EL CAPULÍN,19.337733,-102.332325
EL CAPULÍN,19.492038,-101.089142
EL CAPULÍN,20.194515,-101.955122
EL CAPULÍN,19.220101,-100.429888
EL CAPULÍN,19.447461,-100.571059
EL CAPULÍN,19.876787,-100.151796
EL CAPULÍN,19.916778,-102.722944
EL CAPULÍN,19.615076,-100.718492
EL CAPULÍN,19.437883,-101.144577
EL CAPULÍN,19.600665,-100.53232
EL CAPULÍN,19.099166,-100.483333
EL CAPULÍN,19.412778,-100.651389
EL CAPULÍN,20.227299,-102.491341
EL CAPULÍN,19.45201,-100.279385
EL CARACOL,19.593328,-101.116547
EL CARACOL,19.643483,-102.761439
EL CARACOL,19.33412,-101.236613
EL CARACOL,19.56957,-100.757443
EL CARACOL,19.054815,-102.526882
EL CARACOL,19.32604,-102.49796
EL CARACOL,19.304516,-101.808287
EL CARACOL,19.021785,-100.551056
EL CARACOL,18.595696,-102.395476
EL CARACOL,18.637442,-102.203441
EL CARRIZAL,19.270568,-101.210707
EL CARRIZAL,18.899181,-100.915978
EL CARRIZAL,19.619776,-100.932163
EL CARRIZAL,19.07796,-101.146666
EL CARRIZAL,19.225465,-100.437071
EL CARRIZAL,19.173406,-101.468642
EL CARRIZAL,19.213274,-102.381591
EL CARRIZAL,19.153056,-101.103889
EL CARRIZAL,19.402046,-100.548179
EL CARRIZAL,19.504389,-100.693356
EL CARRIZAL,19.791411,-102.777238
EL CARRIZAL,18.474211,-103.437245
EL CARRIZAL,19.83457,-101.163185
EL CARRIZAL,19.361944,-100.561111
EL CARRIZAL,19.33565,-100.545652
EL CARRIZAL,19.223048,-100.846519
EL CARRIZALILLO DE URAPA,19.050779,-101.65684
EL CARRIZO,19.697429,-100.774458
EL CARRIZO,19.431672,-100.468056
EL CARRIZO,18.196472,-102.658979
EL CARRIZO,18.345833,-102.777397
EL CARRIZO,18.900774,-102.323751
EL CARRIZO,19.021888,-102.999992
EL CARRIZO,18.888055,-100.614722
EL CARRIZO,20.218134,-101.990237
EL CARRO,18.894231,-101.728001
EL CASCALOTE,19.06992,-101.098415
EL CASCALOTE,18.582664,-100.960998
EL CASCALOTE,18.544653,-102.220336
EL CASCALOTE,18.994722,-100.523888
EL CASCALOTE,19.088052,-100.493559
EL CASCALOTE (EL CASCALOTE GRANDE),19.197178,-100.660901
EL CASCALOTE DEL SALITRE (EL SALITRE),19.196546,-100.698141
EL CAULOTE,19.123473,-102.131393
EL CAULOTE,18.111153,-102.260844
EL CAULOTE,18.701111,-101.493889
EL CAULOTE,18.506123,-102.392933
EL CAULOTE,19.399965,-100.856617
EL CAYAQUITO,18.331678,-103.236893
EL CEÑIDOR,,
EL CERRITO DE CATIPUATO (CERRITO DE ORTIZ),20.031308,-102.281701
EL CERRO BLANCO (LAS GALERAS),19.001541,-102.424406
EL CHACOLOTE,20.110413,-102.543203
EL CHAMIZAL (FLOR DE MAYO),19.078333,-102.600556
EL CHANGUNGO,18.314958,-102.103447
EL CHARAPO,18.736969,-102.667482
EL CHARAPO,18.424325,-100.685321
EL CHARAPO,18.592095,-103.297317
EL CHARAPO,18.361389,-103.149722
EL CHARAPO,18.609722,-102.382222
EL CHARAPO (PALO ALTO),18.935142,-102.736661
EL CHARCO,18.999111,-101.056713
EL CHARCO,18.885722,-102.637333
EL CHARCO,18.5585,-102.862074
EL CHARCO,19.672881,-100.731117
EL CHARCO,19.01398,-102.987501
EL CHARCO,19.002222,-100.721666
EL CHARCO,19.375611,-100.879301
EL CHÁUZ,18.891261,-102.041404
EL CHICO,18.433738,-103.520352
EL CHICO,18.446645,-103.305198
EL CHICO,18.814681,-103.387401
EL CHICO,18.576666,-103.587777
EL CHICO,18.973517,-101.507562
EL CHICO,18.783587,-101.260573
EL CHORUMO,18.712589,-103.577921
EL CIRIÁN,19.44866,-100.501654
EL CIRIÁN,19.393663,-100.547889
EL CIRIÁN,19.241536,-102.46184
EL CIRIÁN,19.123685,-100.458856
EL CIRIÁN,19.250036,-101.233242
EL CIRIÁN,18.106947,-102.656824
EL CIRIÁN,19.129791,-101.335138
EL CIRIÁN,18.375605,-102.213983
EL CIRIÁN,19.238342,-101.087685
EL CIRIÁN,18.993392,-101.286677
EL CIRIÁN,18.426213,-102.24257
EL CIRIÁN,18.630795,-101.559126
EL CIRIÁN,18.362676,-102.504509
EL CIRIÁN,18.96861,-101.284722
EL CIRIÁN,19.116819,-100.572273
EL CIRIÁN,19.343053,-100.609935
EL CIRIÁN,19.512222,-100.973055
EL CIRIÁN,19.285186,-100.890672
EL CIRUELO,18.945076,-101.894558
EL CIRUELO,18.510443,-103.341687
EL CIRUELO,18.619722,-103.181666
EL CIRUELO,19.211944,-100.836666
EL CIRUELO,19.096624,-101.413101
EL CÓBANO,19.148365,-102.529668
EL CÓBANO,17.988862,-102.236213
EL CÓBANO,18.239106,-102.756933
EL CÓBANO,18.943386,-101.818549
EL CÓBANO,18.524162,-102.734667
EL CÓBANO,19.16,-102.010833
EL CÓBANO,18.571778,-101.431086
EL CÓBANO,18.83943,-102.805941
